YearStart,YearEnd,StateAbbr,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Topic,Category,Question,Response,Age,Sex,RaceEthnicity,RiskFactor,RiskFactorResponse,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_limit,High_Confidence_Limit,Numerator,LocationID,GeoLocation,TopicID,CategoryID,QuestionID,ResponseID,DataValueTypeID,AgeID,SexID,RaceEthnicityID,RiskFactorID,RiskFactorResponseID,NonWeightedSample,WeightedSample,SampleSize
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,85-89 years,Both sexes,All races,Smoking,Yes,%,Crude Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CVISAC,QPVISA,RVPANY,CRDPREV,AGE8589,GALL,ALLRACE,RFSM,RFYES,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Normal Contrast Sensitivity,65 years and older,Both sexes,"Black, non-Hispanic",Smoking,No,%,Crude Prevalence,74.85,,,69.65,79.58,940897,59,,TVFUNC,CCONT,QCNTRST,RCONTNORM,CRDPREV,AGE65PLUS,GALL,BLK,RFSM,RFNO,377,1256983,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Severe Contrast Sensitivity Loss,65 years and older,Both sexes,Other,Diabetes,Yes,%,Crude Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CCONT,QCNTRST,RCONTSEV,CRDPREV,AGE65PLUS,GALL,OTH,RFDM,RFYES,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Missing presenting acuity,65 years and older,Both sexes,"White, non-Hispanic",Smoking,Yes,%,Crude Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CVISAC,QPVISA,RVPMISS,CRDPREV,AGE65PLUS,GALL,WHT,RFSM,RFYES,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting near acuity,Presenting with any near acuity loss,65 years and older,Male,All races,Residential care,No,%,Age-adjusted Prevalence,40.53,,,38.09,42.96,8453029,59,,TVFUNC,CVISAC,QPNEAR,RVPNEAR,AGEADJPREV,AGE65PLUS,GM,ALLRACE,RFRES,RFNO,2181,20856229,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with moderate visual impairment,65 years and older,Both sexes,"Black, non-Hispanic",Smoking,No,%,Crude Prevalence,1.75,,,0.61,3.88,21988,59,,TVFUNC,CVISAC,QPVISA,RVPMOD,CRDPREV,AGE65PLUS,GALL,BLK,RFSM,RFNO,378,1257081,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65-69 years,Both sexes,"White, non-Hispanic",All participants,Total,%,Crude Prevalence,86.21,,,81.47,90.12,8138661,59,,TVFUNC,CVISAC,QPVISA,RVPNOR,CRDPREV,AGE6569,GALL,WHT,RFAPAR,RFTOT,372,9440438,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,65 years and older,Both sexes,"Black, non-Hispanic",Smoking,No,%,Crude Prevalence,32.23,,,25.99,38.98,405173,59,,TVFUNC,CVISAC,QPVISA,RVPANY,CRDPREV,AGE65PLUS,GALL,BLK,RFSM,RFNO,378,1257081,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting near acuity,Presenting with any near acuity loss,65 years and older,Both sexes,"White, non-Hispanic",All participants,Total,%,Crude Prevalence,38.81,,,37.06,40.57,14492934,59,,TVFUNC,CVISAC,QPNEAR,RVPNEAR,CRDPREV,AGE65PLUS,GALL,WHT,RFAPAR,RFTOT,3485,37346491,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Any Contrast sensitivity loss,85-89 years,Both sexes,All races,Diabetes,Yes,%,Crude Prevalence,41.2,,,31.9,50.99,286590,59,,TVFUNC,CCONT,QCNTRST,RCONTANY,CRDPREV,AGE8589,GALL,ALLRACE,RFDM,RFYES,191,695613,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Mild Contrast Sensitivity Loss,70-74 years,Both sexes,All races,All participants,Total,%,Crude Prevalence,10.64,,,8.45,13.16,1544536,59,,TVFUNC,CCONT,QCNTRST,RCONTMIL,CRDPREV,AGE7074,GALL,ALLRACE,RFAPAR,RFTOT,1020,14517160,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65 years and older,Both sexes,"Hispanic, any race",Residential care,No,%,Crude Prevalence,35.11,,,30.41,40.04,1303863,59,,TVFUNC,CVISAC,QPVISA,RVPIMP,CRDPREV,AGE65PLUS,GALL,HISP,RFRES,RFNO,594,3713351,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Mild Contrast Sensitivity Loss,65 years and older,Male,All races,Diabetes,Yes,%,Age-adjusted Prevalence,15.55,,,12.59,18.52,947570,59,,TVFUNC,CCONT,QCNTRST,RCONTMIL,AGEADJPREV,AGE65PLUS,GM,ALLRACE,RFDM,RFYES,727,6093699,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Normal Contrast Sensitivity,80-84 years,Both sexes,All races,Diabetes,Yes,%,Crude Prevalence,62.87,,,55.24,70.05,1040823,59,,TVFUNC,CCONT,QCNTRST,RCONTNORM,CRDPREV,AGE8084,GALL,ALLRACE,RFDM,RFYES,371,1655633,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65 years and older,Female,All races,Smoking,Yes,%,Age-adjusted Prevalence,64.18,,,58.31,70.05,1358897,59,,TVFUNC,CVISAC,QPVISA,RVPNOR,AGEADJPREV,AGE65PLUS,GF,ALLRACE,RFSM,RFYES,195,2117322,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Severe Contrast Sensitivity Loss,75-79 years,Both sexes,Other,All participants,Total,%,Crude Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CCONT,QCNTRST,RCONTSEV,CRDPREV,AGE7579,GALL,OTH,RFAPAR,RFTOT,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Any Contrast sensitivity loss,90 years and older,Both sexes,All races,Residential care,Yes,%,Crude Prevalence,52.91,,,38.73,66.76,222001,59,,TVFUNC,CCONT,QCNTRST,RCONTANY,CRDPREV,AGE90PLUS,GALL,ALLRACE,RFRES,RFYES,94,419592,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Mild Contrast Sensitivity Loss,90 years and older,Both sexes,All races,Diabetes,No,%,Crude Prevalence,27.18,,,21.45,33.53,359330,59,,TVFUNC,CCONT,QCNTRST,RCONTMIL,CRDPREV,AGE90PLUS,GALL,ALLRACE,RFDM,RFNO,393,1321981,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting near acuity,Presenting with normal near acuity,85-89 years,Both sexes,All races,Smoking,Yes,%,Crude Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CVISAC,QPNEAR,RVPNEARNOR,CRDPREV,AGE8589,GALL,ALLRACE,RFSM,RFYES,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Normal Contrast Sensitivity,65 years and older,Both sexes,"Black, non-Hispanic",Diabetes,No,%,Crude Prevalence,76.71,,,72.28,80.73,1958676,59,,TVFUNC,CCONT,QCNTRST,RCONTNORM,CRDPREV,AGE65PLUS,GALL,BLK,RFDM,RFNO,644,2553483,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting near acuity,Presenting with any near acuity loss,75-79 years,Both sexes,Other,All participants,Total,%,Crude Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CVISAC,QPNEAR,RVPNEAR,CRDPREV,AGE7579,GALL,OTH,RFAPAR,RFTOT,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with moderate visual impairment,65 years and older,Male,"Black, non-Hispanic",All participants,Total,%,Age-adjusted Prevalence,2.28,,,1.24,3.33,38802,59,,TVFUNC,CVISAC,QPVISA,RVPMOD,AGEADJPREV,AGE65PLUS,GM,BLK,RFAPAR,RFTOT,412,1701834,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65 years and older,Both sexes,All races,Smoking,No,%,Crude Prevalence,25.57,,,23.06,28.2,4690802,59,,TVFUNC,CVISAC,QPVISA,RVPIMP,CRDPREV,AGE65PLUS,GALL,ALLRACE,RFSM,RFNO,2171,18348208,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Normal Contrast Sensitivity,65-69 years,Both sexes,Other,All participants,Total,%,Crude Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CCONT,QCNTRST,RCONTNORM,CRDPREV,AGE6569,GALL,OTH,RFAPAR,RFTOT,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with mild visual impairment,85-89 years,Both sexes,"Black, non-Hispanic",All participants,Total,%,Crude Prevalence,41.51,,,31.63,51.93,80099,59,,TVFUNC,CVISAC,QPVISA,RVPMIL,CRDPREV,AGE8589,GALL,BLK,RFAPAR,RFTOT,114,192958,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Normal Contrast Sensitivity,65 years and older,Both sexes,Other,Diabetes,Yes,%,Age-adjusted Prevalence,61.17,,,52.49,69.85,437630,59,,TVFUNC,CCONT,QCNTRST,RCONTNORM,AGEADJPREV,AGE65PLUS,GALL,OTH,RFDM,RFYES,64,715432,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,70-74 years,Female,All races,All participants,Total,%,Crude Prevalence,16.98,,,13.51,20.91,1287583,59,,TVFUNC,CVISAC,QPVISA,RVPANY,CRDPREV,AGE7074,GF,ALLRACE,RFAPAR,RFTOT,563,7585053,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Severe Contrast Sensitivity Loss,65 years and older,Female,All races,Diabetes,No,%,Crude Prevalence,8.88,,,7.28,10.7,1810251,59,,TVFUNC,CCONT,QCNTRST,RCONTSEV,CRDPREV,AGE65PLUS,GF,ALLRACE,RFDM,RFNO,2269,20391110,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Any Contrast sensitivity loss,65 years and older,Female,All races,Diabetes,No,%,Age-adjusted Prevalence,20.6,,,18.46,22.73,4200569,59,,TVFUNC,CCONT,QCNTRST,RCONTANY,AGEADJPREV,AGE65PLUS,GF,ALLRACE,RFDM,RFNO,2269,20391110,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Any Contrast sensitivity loss,65 years and older,Both sexes,"Hispanic, any race",All participants,Total,%,Age-adjusted Prevalence,32.39,,,27.31,37.47,1234387,59,,TVFUNC,CCONT,QCNTRST,RCONTANY,AGEADJPREV,AGE65PLUS,GALL,HISP,RFAPAR,RFTOT,610,3811014,
